participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
120,zy65yaay,5d83c1e911cb3a0001570ea4,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:22.869065,1,,,0.0,120,,0.0,1,1,qd0ydl2t,,,,,0
121,byoz9p3d,5dd352c51c219b35931aefd1,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:04:49.905442,1,,,5.0,121,,0.0,1,1,qd0ydl2t,,,,,0
122,iue3q9v1,6107047fbafeaf147ba228c0,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:05:39.812904,1,,,5.0,122,,0.0,1,1,qd0ydl2t,,,,,0
123,irczu8lq,611c566a4412b71fd8fb5e20,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:05:57.585906,1,,,9.0,123,,0.0,1,1,qd0ydl2t,,,,,0
124,2xmfs16y,5bbf916162b9aa00011466a3,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:07:30.304290,1,,,7.0,124,,0.0,1,1,qd0ydl2t,,,,,0
125,vpinomlh,60860909dc3bd4f7efeaef14,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:07:31.573169,1,,,5.0,125,,0.0,1,1,qd0ydl2t,,,,,0
126,2kv6716x,57dd1a741334540001170404,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:07:41.293983,1,,,5.0,126,,0.0,1,1,qd0ydl2t,,,,,0
127,xepotbdr,61573df2a779b544c3729b54,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:07:54.617726,1,,,5.0,127,,0.0,1,1,qd0ydl2t,,,,,0
128,1va28dii,6125b040ffa3c0b9e67b92c9,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:09:13.607291,1,,,0.0,128,,0.0,1,1,qd0ydl2t,,,,,0
129,kt95kpry,561bbdf9811d22000df3138a,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:14:55.956613,1,,,14.0,129,,0.0,1,1,qd0ydl2t,,,,,0
130,j1q2iv7q,5685850c333cbd000d4e042f,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:16:52.777637,1,,,10.0,130,,0.0,1,1,qd0ydl2t,,,,,0
131,8z1q5fo3,5ed88b61ff2fef399ca66d92,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:25:13.295058,1,,,5.0,131,,0.0,1,1,qd0ydl2t,,,,,0
132,q580hxva,600c66fafe6f05135db8ede9,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:25:13.219521,1,,,5.0,132,,0.0,1,1,qd0ydl2t,,,,,0
133,skduf90n,615d051e2366aeb051acb734,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:25:14.386635,1,,,5.0,133,,0.0,1,1,qd0ydl2t,,,,,0
134,lr6bt3x0,5f121091e95fdc03b5e897d0,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:25:14.909302,1,,,5.0,134,,0.0,1,1,qd0ydl2t,,,,,0
135,e7x9xfd1,611ff6cc935b6de3fff0b896,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:25:15.324131,1,,,14.0,135,,0.0,1,1,qd0ydl2t,,,,,0
136,wig7cwr2,610c255527970227a005623e,0,24,24,final_screen,EndOfExperiment,2021-12-13 19:25:15.472972,1,,,10.0,136,,0.0,1,1,qd0ydl2t,,,,,0
